best epoch, train loss, train accuracy, valid loss, valid accuracy, test loss, test accuracy
136, 0.54, 80.45, 0.98, 70.36, 0.94, 67.47
1718, 0.04, 98.97, 1.38, 77.76, 1.77, 76.46
